ID materiału,Etap,Sesje docelowe,Brief,Prompt lub dokładny tekst,Źródło,Model i wersja,Plan/licencja,Data,Plik master,Eksport,Status,Uwagi z telefonu
VOICE_meditate_working-with-thoughts-5_steps_04,TOŻSAMOŚĆ GŁOSU WYMAGANA,working-with-thoughts-5,Return; 180–240 s; mowa musi pozostawić przestrzeń na praktykę,"Now bring some attention back to the body. The thought does not have to disappear first. It can stay, change, or leave in its own time. Feel one physical sensation again and notice that attention can return even while the mind continues to produce thoughts.",DO UZUPEŁNIENIA,DO UZUPEŁNIENIA,NIEZWERYFIKOWANE,,03_guide/narration/releaf-guide/working-with-thoughts-5/04-return.wav,narration/releaf-guide/working-with-thoughts-5/04-return.mp3,BRAK ZATWIERDZONEJ NARRACJI; NIE GENEROWAĆ INNYM GŁOSEM,
VOICE_meditate_working-with-thoughts-5_steps_05,TOŻSAMOŚĆ GŁOSU WYMAGANA,working-with-thoughts-5,Close; 240–300 s; mowa musi pozostawić przestrzeń na praktykę,"Let attention widen to the room around you. Notice sound, light, and the position of the body. There is no need to decide whether the practice worked or whether you did it well. Simply notice that you spent a few minutes practising how to return.",DO UZUPEŁNIENIA,DO UZUPEŁNIENIA,NIEZWERYFIKOWANE,,03_guide/narration/releaf-guide/working-with-thoughts-5/05-close.wav,narration/releaf-guide/working-with-thoughts-5/05-close.mp3,BRAK ZATWIERDZONEJ NARRACJI; NIE GENEROWAĆ INNYM GŁOSEM,
VOICE_meditate_open-awareness-6_steps_01,TOŻSAMOŚĆ GŁOSU WYMAGANA,open-awareness-6,Anchor; 0–60 s; mowa musi pozostawić przestrzeń na praktykę,"Begin with one simple anchor. You might notice the natural breath, the weight of the body, or a point of contact beneath you. Stay with that sensation for a few moments, not to hold attention perfectly, but to give yourself a clear place to begin.",DO UZUPEŁNIENIA,DO UZUPEŁNIENIA,NIEZWERYFIKOWANE,,03_guide/narration/releaf-guide/open-awareness-6/01-anchor.wav,narration/releaf-guide/open-awareness-6/01-anchor.mp3,BRAK ZATWIERDZONEJ NARRACJI; NIE GENEROWAĆ INNYM GŁOSEM,
VOICE_meditate_open-awareness-6_steps_02,TOŻSAMOŚĆ GŁOSU WYMAGANA,open-awareness-6,Sounds; 60–120 s; mowa musi pozostawić przestrzeń na praktykę,"Now allow sounds to enter awareness. You do not need to search for them or identify every source. Notice a sound as it appears, changes, and fades. Let the next sound arrive on its own, while the body remains supported where you are.",DO UZUPEŁNIENIA,DO UZUPEŁNIENIA,NIEZWERYFIKOWANE,,03_guide/narration/releaf-guide/open-awareness-6/02-sounds.wav,narration/releaf-guide/open-awareness-6/02-sounds.mp3,BRAK ZATWIERDZONEJ NARRACJI; NIE GENEROWAĆ INNYM GŁOSEM,
VOICE_meditate_open-awareness-6_steps_03,TOŻSAMOŚĆ GŁOSU WYMAGANA,open-awareness-6,Body; 120–180 s; mowa musi pozostawić przestrzeń na praktykę,"Include more of the body now. Notice pressure, temperature, movement, tension, or ease wherever these sensations are present. There is no need to scan every area. Let sensations come into awareness and change without having to keep any one of them in place.",DO UZUPEŁNIENIA,DO UZUPEŁNIENIA,NIEZWERYFIKOWANE,,03_guide/narration/releaf-guide/open-awareness-6/03-body.wav,narration/releaf-guide/open-awareness-6/03-body.mp3,BRAK ZATWIERDZONEJ NARRACJI; NIE GENEROWAĆ INNYM GŁOSEM,
VOICE_meditate_open-awareness-6_steps_04,TOŻSAMOŚĆ GŁOSU WYMAGANA,open-awareness-6,Thoughts; 180–240 s; mowa musi pozostawić przestrzeń na praktykę,"Thoughts can be included too. When one becomes noticeable, see if it can be experienced as another changing event rather than something you must immediately follow. A thought may stay for a while or pass quickly. Either way, notice what arrives next.",DO UZUPEŁNIENIA,DO UZUPEŁNIENIA,NIEZWERYFIKOWANE,,03_guide/narration/releaf-guide/open-awareness-6/04-thoughts.wav,narration/releaf-guide/open-awareness-6/04-thoughts.mp3,BRAK ZATWIERDZONEJ NARRACJI; NIE GENEROWAĆ INNYM GŁOSEM,
VOICE_meditate_open-awareness-6_steps_05,TOŻSAMOŚĆ GŁOSU WYMAGANA,open-awareness-6,Open; 240–300 s; mowa musi pozostawić przestrzeń na praktykę,"Let attention become a little wider. Sounds, body sensations, breathing, and thoughts can all be present in the same field. You do not need to choose the most important one. Notice how experience keeps changing when you are not trying to hold it still.",DO UZUPEŁNIENIA,DO UZUPEŁNIENIA,NIEZWERYFIKOWANE,,03_guide/narration/releaf-guide/open-awareness-6/05-open.wav,narration/releaf-guide/open-awareness-6/05-open.mp3,BRAK ZATWIERDZONEJ NARRACJI; NIE GENEROWAĆ INNYM GŁOSEM,
VOICE_meditate_open-awareness-6_steps_06,TOŻSAMOŚĆ GŁOSU WYMAGANA,open-awareness-6,Finish; 300–360 s; mowa musi pozostawić przestrzeń na praktykę,"Begin to reconnect with the room more deliberately. Feel the body, notice the nearest sounds, and let the eyes open when you are ready. Before moving on, remember the next ordinary thing you intend to do, and take this wider attention with you.",DO UZUPEŁNIENIA,DO UZUPEŁNIENIA,NIEZWERYFIKOWANE,,03_guide/narration/releaf-guide/open-awareness-6/06-finish.wav,narration/releaf-guide/open-awareness-6/06-finish.mp3,BRAK ZATWIERDZONEJ NARRACJI; NIE GENEROWAĆ INNYM GŁOSEM,
VOICE_meditate_anxious-thoughts-5_steps_01,TOŻSAMOŚĆ GŁOSU WYMAGANA,anxious-thoughts-5,Arrive; 0–60 s; mowa musi pozostawić przestrzeń na praktykę,"If it feels comfortable, let the eyes close or soften your gaze. Notice the room around you, and then notice the body sitting or lying here. For this minute, you do not have to solve the thoughts that brought you here.",DO UZUPEŁNIENIA,DO UZUPEŁNIENIA,NIEZWERYFIKOWANE,,03_guide/narration/releaf-guide/anxious-thoughts-5/01-arrive.wav,narration/releaf-guide/anxious-thoughts-5/01-arrive.mp3,BRAK ZATWIERDZONEJ NARRACJI; NIE GENEROWAĆ INNYM GŁOSEM,
VOICE_meditate_anxious-thoughts-5_steps_02,TOŻSAMOŚĆ GŁOSU WYMAGANA,anxious-thoughts-5,Notice; 60–120 s; mowa musi pozostawić przestrzeń na praktykę,"When a thought appears, see if you can notice the moment it arrives. Instead of entering the story immediately, recognise simply: a thought is happening. Give it a little space before deciding whether it needs your attention.",DO UZUPEŁNIENIA,DO UZUPEŁNIENIA,NIEZWERYFIKOWANE,,03_guide/narration/releaf-guide/anxious-thoughts-5/02-notice.wav,narration/releaf-guide/anxious-thoughts-5/02-notice.mp3,BRAK ZATWIERDZONEJ NARRACJI; NIE GENEROWAĆ INNYM GŁOSEM,
VOICE_meditate_anxious-thoughts-5_steps_03,TOŻSAMOŚĆ GŁOSU WYMAGANA,anxious-thoughts-5,Name; 120–180 s; mowa musi pozostawić przestrzeń na praktykę,"If it helps, give the thought a very simple name. Planning. Worrying. Remembering. Judging. The label is not there to get rid of the thought. It is only a reminder that the thought is something you can notice.",DO UZUPEŁNIENIA,DO UZUPEŁNIENIA,NIEZWERYFIKOWANE,,03_guide/narration/releaf-guide/anxious-thoughts-5/03-name.wav,narration/releaf-guide/anxious-thoughts-5/03-name.mp3,BRAK ZATWIERDZONEJ NARRACJI; NIE GENEROWAĆ INNYM GŁOSEM,
VOICE_meditate_anxious-thoughts-5_steps_04,TOŻSAMOŚĆ GŁOSU WYMAGANA,anxious-thoughts-5,Return; 180–240 s; mowa musi pozostawić przestrzeń na praktykę,"Now return some attention to one neutral sensation in the body. Feel a point of contact, the temperature of the air, or the natural breath. The thought is allowed to stay in the background. You do not have to fight it.",DO UZUPEŁNIENIA,DO UZUPEŁNIENIA,NIEZWERYFIKOWANE,,03_guide/narration/releaf-guide/anxious-thoughts-5/04-return.wav,narration/releaf-guide/anxious-thoughts-5/04-return.mp3,BRAK ZATWIERDZONEJ NARRACJI; NIE GENEROWAĆ INNYM GŁOSEM,
VOICE_meditate_anxious-thoughts-5_steps_05,TOŻSAMOŚĆ GŁOSU WYMAGANA,anxious-thoughts-5,Close; 240–300 s; mowa musi pozostawić przestrzeń na praktykę,"Let attention widen back to the room. Notice a sound, the body, and the space around you. You do not need to feel completely calm for this practice to count. Let it end exactly where you are.",DO UZUPEŁNIENIA,DO UZUPEŁNIENIA,NIEZWERYFIKOWANE,,03_guide/narration/releaf-guide/anxious-thoughts-5/05-close.wav,narration/releaf-guide/anxious-thoughts-5/05-close.mp3,BRAK ZATWIERDZONEJ NARRACJI; NIE GENEROWAĆ INNYM GŁOSEM,
VOICE_meditate_before-a-difficult-moment-4_steps_01,TOŻSAMOŚĆ GŁOSU WYMAGANA,before-a-difficult-moment-4,Pause; 0–60 s; mowa musi pozostawić przestrzeń na praktykę,"Take a moment to recognise that something difficult is ahead. You do not need to rehearse the whole conversation, journey, or task right now. Simply notice the anticipation that is already here, and give yourself permission to pause before moving into it.",DO UZUPEŁNIENIA,DO UZUPEŁNIENIA,NIEZWERYFIKOWANE,,03_guide/narration/releaf-guide/before-a-difficult-moment-4/01-pause.wav,narration/releaf-guide/before-a-difficult-moment-4/01-pause.mp3,BRAK ZATWIERDZONEJ NARRACJI; NIE GENEROWAĆ INNYM GŁOSEM,
VOICE_meditate_before-a-difficult-moment-4_steps_02,TOŻSAMOŚĆ GŁOSU WYMAGANA,before-a-difficult-moment-4,Ground; 60–120 s; mowa musi pozostawić przestrzeń na praktykę,"Bring attention to something physically reliable. Feel both feet on the floor, the chair supporting you, or another clear point of contact. Let that sensation be simple and factual. For this moment, you are here, supported by the surface beneath you.",DO UZUPEŁNIENIA,DO UZUPEŁNIENIA,NIEZWERYFIKOWANE,,03_guide/narration/releaf-guide/before-a-difficult-moment-4/02-ground.wav,narration/releaf-guide/before-a-difficult-moment-4/02-ground.mp3,BRAK ZATWIERDZONEJ NARRACJI; NIE GENEROWAĆ INNYM GŁOSEM,
VOICE_meditate_before-a-difficult-moment-4_steps_03,TOŻSAMOŚĆ GŁOSU WYMAGANA,before-a-difficult-moment-4,Allow; 120–180 s; mowa musi pozostawić przestrzeń na praktykę,"If discomfort is present, see if you can make a little room for it. You do not have to like the feeling, and you do not have to remove it before you continue. Notice where it shows up in the body, while keeping some attention on the support beneath you.",DO UZUPEŁNIENIA,DO UZUPEŁNIENIA,NIEZWERYFIKOWANE,,03_guide/narration/releaf-guide/before-a-difficult-moment-4/03-allow.wav,narration/releaf-guide/before-a-difficult-moment-4/03-allow.mp3,BRAK ZATWIERDZONEJ NARRACJI; NIE GENEROWAĆ INNYM GŁOSEM,
VOICE_meditate_before-a-difficult-moment-4_steps_04,TOŻSAMOŚĆ GŁOSU WYMAGANA,before-a-difficult-moment-4,Choose; 180–240 s; mowa musi pozostawić przestrzeń na praktykę,"As you prepare to move on, choose one quality you would like to bring with you. Steadiness. Clarity. Patience. Courage. Keep it simple. You do not need to feel completely ready. Let that one quality be a direction for the next small step.",DO UZUPEŁNIENIA,DO UZUPEŁNIENIA,NIEZWERYFIKOWANE,,03_guide/narration/releaf-guide/before-a-difficult-moment-4/04-choose.wav,narration/releaf-guide/before-a-difficult-moment-4/04-choose.mp3,BRAK ZATWIERDZONEJ NARRACJI; NIE GENEROWAĆ INNYM GŁOSEM,
VOICE_meditate_focus-anchor-5_steps_01,TOŻSAMOŚĆ GŁOSU WYMAGANA,focus-anchor-5,Settle; 0–60 s; mowa musi pozostawić przestrzeń na praktykę,"Choose one simple sensation to become your anchor for this practice. It could be the breath, your feet, or the contact of your hands. Pick something ordinary and easy to return to.",DO UZUPEŁNIENIA,DO UZUPEŁNIENIA,NIEZWERYFIKOWANE,,03_guide/narration/releaf-guide/focus-anchor-5/01-settle.wav,narration/releaf-guide/focus-anchor-5/01-settle.mp3,BRAK ZATWIERDZONEJ NARRACJI; NIE GENEROWAĆ INNYM GŁOSEM,
VOICE_meditate_focus-anchor-5_steps_02,TOŻSAMOŚĆ GŁOSU WYMAGANA,focus-anchor-5,Stay; 60–120 s; mowa musi pozostawić przestrzeń na praktykę,"Stay with that anchor for a few breaths at a time. You do not need perfect concentration. Just notice the details that are already there, and let attention rest on them for a moment.",DO UZUPEŁNIENIA,DO UZUPEŁNIENIA,NIEZWERYFIKOWANE,,03_guide/narration/releaf-guide/focus-anchor-5/02-stay.wav,narration/releaf-guide/focus-anchor-5/02-stay.mp3,BRAK ZATWIERDZONEJ NARRACJI; NIE GENEROWAĆ INNYM GŁOSEM,
VOICE_meditate_focus-anchor-5_steps_03,TOŻSAMOŚĆ GŁOSU WYMAGANA,focus-anchor-5,Notice; 120–180 s; mowa musi pozostawić przestrzeń na praktykę,"Notice the moment attention has moved somewhere else. Maybe into a thought, a sound, or something you need to do later. The important part is noticing the shift, not preventing it.",DO UZUPEŁNIENIA,DO UZUPEŁNIENIA,NIEZWERYFIKOWANE,,03_guide/narration/releaf-guide/focus-anchor-5/03-notice.wav,narration/releaf-guide/focus-anchor-5/03-notice.mp3,BRAK ZATWIERDZONEJ NARRACJI; NIE GENEROWAĆ INNYM GŁOSEM,
VOICE_meditate_focus-anchor-5_steps_04,TOŻSAMOŚĆ GŁOSU WYMAGANA,focus-anchor-5,Return; 180–240 s; mowa musi pozostawić przestrzeń na praktykę,"Return to your anchor without making distraction into a problem. Each return is the practice. Let the next few moments be simple: notice, drift, and come back again.",DO UZUPEŁNIENIA,DO UZUPEŁNIENIA,NIEZWERYFIKOWANE,,03_guide/narration/releaf-guide/focus-anchor-5/04-return.wav,narration/releaf-guide/focus-anchor-5/04-return.mp3,BRAK ZATWIERDZONEJ NARRACJI; NIE GENEROWAĆ INNYM GŁOSEM,
VOICE_meditate_focus-anchor-5_steps_05,TOŻSAMOŚĆ GŁOSU WYMAGANA,focus-anchor-5,Choose; 240–300 s; mowa musi pozostawić przestrzeń na praktykę,"Begin to end the meditation by thinking of the one task that deserves your attention next. Keep it specific. When you finish here, let that be the first place your attention goes.",DO UZUPEŁNIENIA,DO UZUPEŁNIENIA,NIEZWERYFIKOWANE,,03_guide/narration/releaf-guide/focus-anchor-5/05-choose.wav,narration/releaf-guide/focus-anchor-5/05-choose.mp3,BRAK ZATWIERDZONEJ NARRACJI; NIE GENEROWAĆ INNYM GŁOSEM,
VOICE_meditate_after-distraction-6_steps_01,TOŻSAMOŚĆ GŁOSU WYMAGANA,after-distraction-6,Stop; 0–60 s; mowa musi pozostawić przestrzeń na praktykę,"For this minute, stop switching. Let the tabs, messages, and unfinished tasks wait. You do not need to decide what deserves attention yet. Give the mind one clear signal: for the next few moments, there is only this pause.",DO UZUPEŁNIENIA,DO UZUPEŁNIENIA,NIEZWERYFIKOWANE,,03_guide/narration/releaf-guide/after-distraction-6/01-stop.wav,narration/releaf-guide/after-distraction-6/01-stop.mp3,BRAK ZATWIERDZONEJ NARRACJI; NIE GENEROWAĆ INNYM GŁOSEM,
VOICE_meditate_after-distraction-6_steps_02,TOŻSAMOŚĆ GŁOSU WYMAGANA,after-distraction-6,Body; 60–120 s; mowa musi pozostawić przestrzeń na praktykę,"Notice how the body has been holding the work. Feel the jaw, the shoulders, the hands, and the way you are sitting or standing. Find one point of support beneath you and let that physical contact bring attention out of the task and back into the room.",DO UZUPEŁNIENIA,DO UZUPEŁNIENIA,NIEZWERYFIKOWANE,,03_guide/narration/releaf-guide/after-distraction-6/02-body.wav,narration/releaf-guide/after-distraction-6/02-body.mp3,BRAK ZATWIERDZONEJ NARRACJI; NIE GENEROWAĆ INNYM GŁOSEM,
VOICE_meditate_after-distraction-6_steps_03,TOŻSAMOŚĆ GŁOSU WYMAGANA,after-distraction-6,Anchor; 120–180 s; mowa musi pozostawić przestrzeń na praktykę,"Choose one simple sensation to stay with. It might be the feeling of your feet, the temperature of the air, or the natural movement of breathing. Let that one sensation be the place you return to, without trying to concentrate perfectly.",DO UZUPEŁNIENIA,DO UZUPEŁNIENIA,NIEZWERYFIKOWANE,,03_guide/narration/releaf-guide/after-distraction-6/03-anchor.wav,narration/releaf-guide/after-distraction-6/03-anchor.mp3,BRAK ZATWIERDZONEJ NARRACJI; NIE GENEROWAĆ INNYM GŁOSEM,
VOICE_meditate_after-distraction-6_steps_04,TOŻSAMOŚĆ GŁOSU WYMAGANA,after-distraction-6,Drift; 180–240 s; mowa musi pozostawić przestrzeń na praktykę,"Sooner or later, attention will move. A thought, sound, message, or plan may pull you away. When you notice that, let the noticing itself count. You do not need to be annoyed with the distraction. You have simply recognised where attention went.",DO UZUPEŁNIENIA,DO UZUPEŁNIENIA,NIEZWERYFIKOWANE,,03_guide/narration/releaf-guide/after-distraction-6/04-drift.wav,narration/releaf-guide/after-distraction-6/04-drift.mp3,BRAK ZATWIERDZONEJ NARRACJI; NIE GENEROWAĆ INNYM GŁOSEM,
VOICE_meditate_after-distraction-6_steps_05,TOŻSAMOŚĆ GŁOSU WYMAGANA,after-distraction-6,Return; 240–300 s; mowa musi pozostawić przestrzeń na praktykę,"Come back to the anchor gently. No tightening, no forcing. If attention moves again, return again. This is the practice: not never becoming distracted, but noticing sooner and choosing where attention goes next.",DO UZUPEŁNIENIA,DO UZUPEŁNIENIA,NIEZWERYFIKOWANE,,03_guide/narration/releaf-guide/after-distraction-6/05-return.wav,narration/releaf-guide/after-distraction-6/05-return.mp3,BRAK ZATWIERDZONEJ NARRACJI; NIE GENEROWAĆ INNYM GŁOSEM,
VOICE_meditate_after-distraction-6_steps_06,TOŻSAMOŚĆ GŁOSU WYMAGANA,after-distraction-6,Next; 300–360 s; mowa musi pozostawić przestrzeń na praktykę,"Before you return to work, choose one concrete next action. One email. One paragraph. One decision. Let the rest remain outside the frame for now. When this practice ends, give that single action your first piece of attention.",DO UZUPEŁNIENIA,DO UZUPEŁNIENIA,NIEZWERYFIKOWANE,,03_guide/narration/releaf-guide/after-distraction-6/06-next.wav,narration/releaf-guide/after-distraction-6/06-next.mp3,BRAK ZATWIERDZONEJ NARRACJI; NIE GENEROWAĆ INNYM GŁOSEM,
VOICE_meditate_body-scan-5_steps_01,TOŻSAMOŚĆ GŁOSU WYMAGANA,body-scan-5,Face; 0–60 s; mowa musi pozostawić przestrzeń na praktykę,"Bring attention to the face. Notice the forehead, the space around the eyes, the cheeks, and the jaw. You do not need to relax anything deliberately. Just notice where there is movement, pressure, warmth, tightness, or very little sensation at all.",DO UZUPEŁNIENIA,DO UZUPEŁNIENIA,NIEZWERYFIKOWANE,,03_guide/narration/releaf-guide/body-scan-5/01-face.wav,narration/releaf-guide/body-scan-5/01-face.mp3,BRAK ZATWIERDZONEJ NARRACJI; NIE GENEROWAĆ INNYM GŁOSEM,
VOICE_meditate_body-scan-5_steps_02,TOŻSAMOŚĆ GŁOSU WYMAGANA,body-scan-5,Shoulders; 60–120 s; mowa musi pozostawić przestrzeń na praktykę,"Let attention move through the neck and shoulders. Notice their weight and position. If there is tension, you do not need to push it away. Feel the difference between the muscles that are working and the areas that can simply be supported.",DO UZUPEŁNIENIA,DO UZUPEŁNIENIA,NIEZWERYFIKOWANE,,03_guide/narration/releaf-guide/body-scan-5/02-shoulders.wav,narration/releaf-guide/body-scan-5/02-shoulders.mp3,BRAK ZATWIERDZONEJ NARRACJI; NIE GENEROWAĆ INNYM GŁOSEM,
VOICE_meditate_body-scan-5_steps_03,TOŻSAMOŚĆ GŁOSU WYMAGANA,body-scan-5,Center; 120–180 s; mowa musi pozostawić przestrzeń na praktykę,"Move into the centre of the body. Notice the chest, the upper and lower back, and the abdomen. Feel any small movement that comes with breathing, as well as pressure or contact from clothing and the surface beneath you.",DO UZUPEŁNIENIA,DO UZUPEŁNIENIA,NIEZWERYFIKOWANE,,03_guide/narration/releaf-guide/body-scan-5/03-center.wav,narration/releaf-guide/body-scan-5/03-center.mp3,BRAK ZATWIERDZONEJ NARRACJI; NIE GENEROWAĆ INNYM GŁOSEM,
VOICE_meditate_body-scan-5_steps_04,TOŻSAMOŚĆ GŁOSU WYMAGANA,body-scan-5,Legs; 180–240 s; mowa musi pozostawić przestrzeń na praktykę,"Now notice the hips, thighs, knees, lower legs, and feet. Feel where the legs are heavy, warm, cool, supported, or restless. There is nothing you need to change. Let attention move slowly enough to register what is already here.",DO UZUPEŁNIENIA,DO UZUPEŁNIENIA,NIEZWERYFIKOWANE,,03_guide/narration/releaf-guide/body-scan-5/04-legs.wav,narration/releaf-guide/body-scan-5/04-legs.mp3,BRAK ZATWIERDZONEJ NARRACJI; NIE GENEROWAĆ INNYM GŁOSEM,
VOICE_meditate_body-scan-5_steps_05,TOŻSAMOŚĆ GŁOSU WYMAGANA,body-scan-5,Whole Body; 240–300 s; mowa musi pozostawić przestrzeń na praktykę,"Let the separate areas come together into one sense of the whole body. Face, shoulders, centre, legs, and feet can all be present at once. Notice the body being supported here without needing to check each part individually.",DO UZUPEŁNIENIA,DO UZUPEŁNIENIA,NIEZWERYFIKOWANE,,03_guide/narration/releaf-guide/body-scan-5/05-whole-body.wav,narration/releaf-guide/body-scan-5/05-whole-body.mp3,BRAK ZATWIERDZONEJ NARRACJI; NIE GENEROWAĆ INNYM GŁOSEM,
VOICE_meditate_soften-tension-4_steps_01,TOŻSAMOŚĆ GŁOSU WYMAGANA,soften-tension-4,Notice; 0–60 s; mowa musi pozostawić przestrzeń na praktykę,"Notice a few places that often work harder than necessary: the jaw, the muscles around the eyes, the hands, and the shoulders. Do not correct them yet. First, simply notice how much effort each area is using right now.",DO UZUPEŁNIENIA,DO UZUPEŁNIENIA,NIEZWERYFIKOWANE,,03_guide/narration/releaf-guide/soften-tension-4/01-notice.wav,narration/releaf-guide/soften-tension-4/01-notice.mp3,BRAK ZATWIERDZONEJ NARRACJI; NIE GENEROWAĆ INNYM GŁOSEM,
VOICE_meditate_soften-tension-4_steps_02,TOŻSAMOŚĆ GŁOSU WYMAGANA,soften-tension-4,Compare; 60–120 s; mowa musi pozostawić przestrzeń na praktykę,"Some muscular effort is useful. It helps you sit, hold the phone, or keep your head upright. See if you can distinguish that useful effort from extra gripping or bracing that is not doing a job for you in this moment.",DO UZUPEŁNIENIA,DO UZUPEŁNIENIA,NIEZWERYFIKOWANE,,03_guide/narration/releaf-guide/soften-tension-4/02-compare.wav,narration/releaf-guide/soften-tension-4/02-compare.mp3,BRAK ZATWIERDZONEJ NARRACJI; NIE GENEROWAĆ INNYM GŁOSEM,
VOICE_meditate_soften-tension-4_steps_03,TOŻSAMOŚĆ GŁOSU WYMAGANA,soften-tension-4,Soften; 120–180 s; mowa musi pozostawić przestrzeń na praktykę,"Experiment with using a little less effort. Perhaps let the jaw be less fixed, the hands less clenched, or the shoulders less lifted. Keep the change small. You are not trying to make the body completely relaxed, only to stop doing work that is not needed.",DO UZUPEŁNIENIA,DO UZUPEŁNIENIA,NIEZWERYFIKOWANE,,03_guide/narration/releaf-guide/soften-tension-4/03-soften.wav,narration/releaf-guide/soften-tension-4/03-soften.mp3,BRAK ZATWIERDZONEJ NARRACJI; NIE GENEROWAĆ INNYM GŁOSEM,
VOICE_meditate_soften-tension-4_steps_04,TOŻSAMOŚĆ GŁOSU WYMAGANA,soften-tension-4,Whole Body; 180–240 s; mowa musi pozostawić przestrzeń na praktykę,"Now notice the whole body together. Let it settle in whatever way is available today. Some tension may remain, and that is fine. Finish by noticing the difference between forcing relaxation and simply giving the body permission to use less effort.",DO UZUPEŁNIENIA,DO UZUPEŁNIENIA,NIEZWERYFIKOWANE,,03_guide/narration/releaf-guide/soften-tension-4/04-whole-body.wav,narration/releaf-guide/soften-tension-4/04-whole-body.mp3,BRAK ZATWIERDZONEJ NARRACJI; NIE GENEROWAĆ INNYM GŁOSEM,
VOICE_meditate_self-kindness-5_steps_01,TOŻSAMOŚĆ GŁOSU WYMAGANA,self-kindness-5,Notice; 0–60 s; mowa musi pozostawić przestrzeń na praktykę,"Notice what feels difficult right now without turning it into a bigger story. It may be a feeling, a mistake, a conversation, or simply a hard day. Name the difficulty quietly and notice what happens in the body when you acknowledge it.",DO UZUPEŁNIENIA,DO UZUPEŁNIENIA,NIEZWERYFIKOWANE,,03_guide/narration/releaf-guide/self-kindness-5/01-notice.wav,narration/releaf-guide/self-kindness-5/01-notice.mp3,BRAK ZATWIERDZONEJ NARRACJI; NIE GENEROWAĆ INNYM GŁOSEM,
VOICE_meditate_self-kindness-5_steps_02,TOŻSAMOŚĆ GŁOSU WYMAGANA,self-kindness-5,Soften; 60–120 s; mowa musi pozostawić przestrzeń na praktykę,Notice the tone you are using with yourself. See if you can remove one layer of criticism without pretending the situation is easy. The aim is not positive thinking. It is simply to stop adding unnecessary hostility to something that is already difficult.,DO UZUPEŁNIENIA,DO UZUPEŁNIENIA,NIEZWERYFIKOWANE,,03_guide/narration/releaf-guide/self-kindness-5/02-soften.wav,narration/releaf-guide/self-kindness-5/02-soften.mp3,BRAK ZATWIERDZONEJ NARRACJI; NIE GENEROWAĆ INNYM GŁOSEM,
VOICE_meditate_self-kindness-5_steps_03,TOŻSAMOŚĆ GŁOSU WYMAGANA,self-kindness-5,Kindness; 120–180 s; mowa musi pozostawić przestrzeń na praktykę,"Think of one simple sentence you might offer to someone you care about in the same situation. Maybe: this is hard, take one thing at a time, or you do not have to solve everything right now. Try offering the same sentence to yourself.",DO UZUPEŁNIENIA,DO UZUPEŁNIENIA,NIEZWERYFIKOWANE,,03_guide/narration/releaf-guide/self-kindness-5/03-kindness.wav,narration/releaf-guide/self-kindness-5/03-kindness.mp3,BRAK ZATWIERDZONEJ NARRACJI; NIE GENEROWAĆ INNYM GŁOSEM,
VOICE_meditate_self-kindness-5_steps_04,TOŻSAMOŚĆ GŁOSU WYMAGANA,self-kindness-5,Allow; 180–240 s; mowa musi pozostawić przestrzeń na praktykę,"Let both things be true for a moment: this may still be difficult, and you can respond to yourself with less aggression. You do not need the kinder response to erase the feeling. Notice whether it changes the way you are carrying it.",DO UZUPEŁNIENIA,DO UZUPEŁNIENIA,NIEZWERYFIKOWANE,,03_guide/narration/releaf-guide/self-kindness-5/04-allow.wav,narration/releaf-guide/self-kindness-5/04-allow.mp3,BRAK ZATWIERDZONEJ NARRACJI; NIE GENEROWAĆ INNYM GŁOSEM,
VOICE_meditate_self-kindness-5_steps_05,TOŻSAMOŚĆ GŁOSU WYMAGANA,self-kindness-5,Return; 240–300 s; mowa musi pozostawić przestrzeń na praktykę,"Bring attention back to the room. Notice one sound, one point of support, and the next thing that actually needs your attention. Finish without demanding a particular feeling from yourself. A kinder next step is enough.",DO UZUPEŁNIENIA,DO UZUPEŁNIENIA,NIEZWERYFIKOWANE,,03_guide/narration/releaf-guide/self-kindness-5/05-return.wav,narration/releaf-guide/self-kindness-5/05-return.mp3,BRAK ZATWIERDZONEJ NARRACJI; NIE GENEROWAĆ INNYM GŁOSEM,
VOICE_meditate_morning-arrival-4_steps_01,TOŻSAMOŚĆ GŁOSU WYMAGANA,morning-arrival-4,Wake; 0–60 s; mowa musi pozostawić przestrzeń na praktykę,"Before the day gathers speed, notice how the body actually feels. Heavy or light, rested or tired, comfortable or tense. You do not need to improve the feeling. Just begin the morning by knowing what is already here.",DO UZUPEŁNIENIA,DO UZUPEŁNIENIA,NIEZWERYFIKOWANE,,03_guide/narration/releaf-guide/morning-arrival-4/01-wake.wav,narration/releaf-guide/morning-arrival-4/01-wake.mp3,BRAK ZATWIERDZONEJ NARRACJI; NIE GENEROWAĆ INNYM GŁOSEM,
VOICE_meditate_morning-arrival-4_steps_02,TOŻSAMOŚĆ GŁOSU WYMAGANA,morning-arrival-4,Listen; 60–120 s; mowa musi pozostawić przestrzeń na praktykę,"Let attention move to the sounds that are already present. Near sounds, distant sounds, quiet sounds. There is nothing you need to search for. Let listening bring you into the room and into this morning.",DO UZUPEŁNIENIA,DO UZUPEŁNIENIA,NIEZWERYFIKOWANE,,03_guide/narration/releaf-guide/morning-arrival-4/02-listen.wav,narration/releaf-guide/morning-arrival-4/02-listen.mp3,BRAK ZATWIERDZONEJ NARRACJI; NIE GENEROWAĆ INNYM GŁOSEM,
